,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi
08h-09h,,,,,,
09h-10h,,,CM Processus,CM Processus,,
10h-11h,,,CM Processus,CM Processus,,Court métrage
11h-12h,,Musculation,CM Processus,CM Processus,,Court métrage
12h-13h,Musculation,RU,CM Processus,CM Processus,Musculation,Court métrage
13h-14h,RU,,RU,RU,RU,RU
14h-15h,,BU (Projet),BU (Processus),BU (Projet),BU (Libre),Court métrage
15h-16h,TD Processus stochastiques,BU (Projet),BU (Processus),BU (Projet),BU (Libre),Court métrage
16h-17h,,,,BU (Projet),,
17h-18h,BU (Processus),,,,,
18h-19h,,Club photo,,,,
19h-20h,,,,,,
20h-21h,,,,,,
